medal,beer_name,brewery,city,state,category,year,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Bronze,Fr. Bernard's Grodziskie,New Magnolia Brewing Co.,Houston,TX,Historical Beer,2020,29.813142,-95.309789,1,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau
Gold,Honey Please,Armadillo Ale Works,Denton,TX,Honey Beer,2020,33.220974,-97.146038,1,place,,,,,Denton,TX,Denton County,76201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Tra La La,Grimm Artisanal Ales,Brooklyn,NY,Honey Beer,2020,40.645099,-73.945032,0.67,place,,,,,Brooklyn,NY,Kings County,11256,US,TIGER/Line® dataset from the US Census Bureau
Gold,Hammerland DIPA,El Segundo Brewing Co.,El Segundo,CA,Imperial India Pale Ale,2020,33.91918,-118.41647,1,place,,,,,El Segundo,CA,Los Angeles County,90245,US,TIGER/Line® dataset from the US Census Bureau
Silver,Double Cone,Alvarado Street Brewery & Tasting Room,Salinas,CA,Imperial India Pale Ale,2020,36.64152,-121.622188,1,place,,,,,Salinas,CA,Monterey County,93901,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Freak of Nature Double IPA,Wicked Weed Brewing,Asheville,NC,Imperial India Pale Ale,2020,35.602711,-82.567281,1,place,,,,,Asheville,NC,Buncombe County,28801,US,TIGER/Line® dataset from the US Census Bureau
Gold,The Snow,Community Beer Works,Buffalo,NY,Imperial Stout,2020,42.89606,-78.886424,1,place,,,,,Buffalo,NY,Erie County,14201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Stoutacus,Shoe Tree Brewing Co.,Carson City,NV,Imperial Stout,2020,39.154485,-119.73074,1,place,,,,,Carson City,NV,Carson City,89701,US,TIGER/Line® dataset from the US Census Bureau
Gold,Baltic Porter,Skipping Rock Beer Co.,Staunton,VA,International Dark Lager,2020,38.157368,-79.065116,1,place,,,,,Staunton,VA,Staunton city,24401,US,TIGER/Line® dataset from the US Census Bureau
Silver,Murder Ballads,Noble Beast Brewing Co.,Cleveland,OH,International Dark Lager,2020,41.489381,-81.667486,1,place,,,,,Cleveland,OH,Cuyahoga County,44101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Public Enemy Baltic Porter,Dust Bowl Brewing Co.,Turlock,CA,International Dark Lager,2020,37.474396,-120.875918,1,place,,,,,Turlock,CA,Stanislaus County,95380,US,TIGER/Line® dataset from the US Census Bureau
Gold,Locals Only,Pizza Port Carlsbad,Carlsbad,CA,International Pale Ale,2020,33.144219,-117.319439,1,place,,,,,Carlsbad,CA,San Diego County,92008,US,TIGER/Line® dataset from the US Census Bureau
Silver,Carlsbad Crush,Burgeon Beer Co.,Carlsbad,CA,International Pale Ale,2020,33.144219,-117.319439,1,place,,,,,Carlsbad,CA,San Diego County,92008,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Inner Light,Our Mutual Friend Brewing,Denver,CO,International Pale Ale,2020,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Gold,Japanese Lager,pFriem Family Brewers,Hood River,OR,International Pilsener,2020,45.7054,-121.52146,1,place,,,,,Hood River,OR,Hood River County,97031,US,TIGER/Line® dataset from the US Census Bureau
Silver,Rioveza,Kern River Brewing Co. - The Backyard,Kernville,CA,International Pilsener,2020,35.708701,-118.405385,1,place,,,,,Kernville,CA,Kern County,93238,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Little Wing,Horse Thief Hollow Brewing Co.,Chicago,IL,International Pilsener,2020,41.88531,-87.62213,1,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
Gold,Balefire Irish Red,Mirror Image Brewing Co.,Frederick,CO,Irish-Style Red Ale,2020,40.09915,-104.9372,1,place,,,,,Frederick,CO,Weld County,80530,US,TIGER/Line® dataset from the US Census Bureau
Silver,Crimson Lass,Quarter Celtic Brewpub,Albuquerque,NM,Irish-Style Red Ale,2020,35.199592,-106.644831,1,place,,,,,Albuquerque,NM,Bernalillo County,87101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Vixen,Old Bust Head Brewing Co.,Vint Hill,VA,Irish-Style Red Ale,2020,38.743888,-77.682777,0,,,,,,,,,,,
Gold,The Hopsplainer,Burke-Gilman Brewing Co.,Seattle,WA,Juicy or Hazy Imperial India Pale Ale,2020,47.432251,-121.803388,1,place,,,,,Seattle,WA,King County,98060,US,TIGER/Line® dataset from the US Census Bureau
Silver,Not A Scientist,Cloudburst Brewing,Seattle,WA,Juicy or Hazy Imperial India Pale Ale,2020,47.432251,-121.803388,1,place,,,,,Seattle,WA,King County,98060,US,TIGER/Line® dataset from the US Census Bureau
Gold,Spellbinder,Wren House Brewing Co.,Phoenix,AZ,Juicy or Hazy India Pale Ale,2020,33.703967,-112.351835,1,place,,,,,Phoenix,AZ,Maricopa County,85001,US,TIGER/Line® dataset from the US Census Bureau
Silver,Yojo,Moonraker Brewing Co.,Auburn,CA,Juicy or Hazy India Pale Ale,2020,39.014933,-121.07047,1,place,,,,,Auburn,CA,Placer County,95602,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Wicked Pawesome,Metazoa Brewing Co. - Stringtown Production Facility,Indianapolis,IN,Juicy or Hazy India Pale Ale,2020,39.775092,-86.13216,1,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Moon Haze,Blue Moon Brewing Co.,Denver,CO,Juicy or Hazy Pale Ale,2020,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Silver,Hazy L IPA,Bale Breaker Brewing Co.,Yakima,WA,Juicy or Hazy Pale Ale,2020,46.722625,-120.406039,1,place,,,,,Yakima,WA,Yakima County,98901,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Mosaic Pale Ale,Random Row Brewing Co.,Charlottesville,VA,Juicy or Hazy Pale Ale,2020,38.026588,-78.48045,1,place,,,,,Charlottesville,VA,Charlottesville city,22902,US,TIGER/Line® dataset from the US Census Bureau
Gold,Goofy Boots,Penrose Brewing Co.,Geneva,IL,Juicy or Hazy Strong Pale Ale,2020,41.88753,-88.30535,1,place,,,,,Geneva,IL,Kane County,60134,US,TIGER/Line® dataset from the US Census Bureau
Silver,Reuben's Crush,Reuben's Brews - The Taproom,Seattle,WA,Juicy or Hazy Strong Pale Ale,2020,47.432251,-121.803388,1,place,,,,,Seattle,WA,King County,98060,US,TIGER/Line® dataset from the US Census Bureau
Gold,Safety Dance,Smartmouth Brewing Co.,Norfolk,VA,Kellerbier or Zwickelbier,2020,36.895911,-76.208521,1,place,,,,,Norfolk,VA,Norfolk city,23501,US,TIGER/Line® dataset from the US Census Bureau
Silver,Royal Bohemian Pilsner,Earth Rider Brewery,Superior,WI,Kellerbier or Zwickelbier,2020,46.574982,-92.117578,1,place,,,,,Superior,WI,Douglas County,54880,US,TIGER/Line® dataset from the US Census Bureau
Bronze,TF Brewing Granary Keller Bier,Templin Family Brewing,Salt Lake City,UT,Kellerbier or Zwickelbier,2020,40.756095,-111.900719,1,place,,,,,Salt Lake City,UT,Salt Lake County,84101,US,TIGER/Line® dataset from the US Census Bureau
Gold,Wander Litely,Wander Brewing,Bellingham,WA,Light Lager,2020,48.754092,-122.508129,1,place,,,,,Bellingham,WA,Whatcom County,98225,US,TIGER/Line® dataset from the US Census Bureau
Silver,Chuckanut Chuck Lite,Chuckanut Brewery - North Nut,Bellingham,WA,Light Lager,2020,48.754092,-122.508129,1,place,,,,,Bellingham,WA,Whatcom County,98225,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Pachanga,Sun King Brewery - Indianapolis,Indianapolis,IN,Light Lager,2020,39.775092,-86.13216,1,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
Silver,D=C3=A9luge,Sanitas Brewing Co.,Boulder,CO,Mixed-Culture Brett Beer,2020,40.049468,-105.201421,1,place,,,,,Boulder,CO,Boulder County,80301,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Gathering Red Currants & Peaches,Grimm Artisanal Ales,Brooklyn,NY,Mixed-Culture Brett Beer,2020,40.645099,-73.945032,0.67,place,,,,,Brooklyn,NY,Kings County,11256,US,TIGER/Line® dataset from the US Census Bureau
Gold,Augenblick Light Lager,Masthead Brewing Co.,Cleveland,OH,Munich-Style Helles,2020,41.489381,-81.667486,1,place,,,,,Cleveland,OH,Cuyahoga County,44101,US,TIGER/Line® dataset from the US Census Bureau
Gold,Settlers' Oatmeal Stout,Vallensons' Brewing Co.,Pearland,TX,Oatmeal Stout,2020,29.561554,-95.279739,1,place,,,,,Pearland,TX,Brazoria County,77581,US,TIGER/Line® dataset from the US Census Bureau
Silver,North Tower Stout,Earth Rider Brewery,Superior,WI,Oatmeal Stout,2020,46.574982,-92.117578,1,place,,,,,Superior,WI,Douglas County,54880,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Stagecoach Stout,Figueroa Mountain Brewing Co.,Buellton,CA,Oatmeal Stout,2020,34.635927,-120.201469,1,place,,,,,Buellton,CA,Santa Barbara County,93427,US,TIGER/Line® dataset from the US Census Bureau
Gold,Miss Cleo's Barkleywine,Sanford Brewing Co.,Sanford,FL,Old Ale or Strong Ale or Barley Wine-Style Ale,2020,28.793491,-81.299169,1,place,,,,,Sanford,FL,Seminole County,32771,US,TIGER/Line® dataset from the US Census Bureau
Silver,Baby Maker,Triple C Brewing Co.,Charlotte,NC,Old Ale or Strong Ale or Barley Wine-Style Ale,2020,35.26002,-80.804151,1,place,,,,,Charlotte,NC,Mecklenburg County,28201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Rico,Chihuahua Cerveza,Costa Mesa,CA,Other Strong Beer,2020,33.678399,-117.911715,1,place,,,,,Costa Mesa,CA,Orange County,92626,US,TIGER/Line® dataset from the US Census Bureau
Silver,Krimson King,Accomplice Beer Co.,Cheyenne,WY,Other Strong Beer,2020,41.092356,-104.936269,1,place,,,,,Cheyenne,WY,Laramie County,82001,US,TIGER/Line® dataset from the US Census Bureau
Bronze,"Hello, Sabro!",Danville Brewing Co.,Danville,CA,Other Strong Beer,2020,37.832075,-121.916718,1,place,,,,,Danville,CA,Contra Costa County,94506,US,TIGER/Line® dataset from the US Census Bureau
Gold,Gordgeous,NoDa Brewing Co. - NE,Charlotte,NC,Pumpkin Beer,2020,35.26002,-80.804151,1,place,,,,,Charlotte,NC,Mecklenburg County,28201,US,TIGER/Line® dataset from the US Census Bureau
Silver,5 Phantoms 2018,Philipsburg Brewing Co.,Philipsburg,MT,Pumpkin Beer,2020,46.272241,-113.435709,1,place,,,,,Philipsburg,MT,Granite County,59858,US,TIGER/Line® dataset from the US Census Bureau
Gold,Tabula Rasa,Second Chance Beer Co.,San Diego,CA,Robust Porter,2020,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Porter,Founders Brewing Co.,Grand Rapids,MI,Robust Porter,2020,42.984226,-85.629101,1,place,,,,,Grand Rapids,MI,Kent County,49501,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Thriller Pillar Porter,Bron Yr Aur Brewing Co.,Naches,WA,Robust Porter,2020,46.805796,-120.992096,1,place,,,,,Naches,WA,Yakima County,98937,US,TIGER/Line® dataset from the US Census Bureau
Silver,Hugzilla,Gezellig Brewing Co.,Newton,IA,Rye Beer,2020,41.718107,-93.012335,1,place,,,,,Newton,IA,Jasper County,50208,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Chuckanut Rye,Chuckanut Brewery - North Nut,Bellingham,WA,Rye Beer,2020,48.754092,-122.508129,1,place,,,,,Bellingham,WA,Whatcom County,98225,US,TIGER/Line® dataset from the US Census Bureau
Gold,No. 17 Scotch Ale,The Freehouse,Minneapolis,MN,Scotch Ale,2020,44.984577,-93.269097,1,place,,,,,Minneapolis,MN,Hennepin County,55401,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Wee Heavy HINDER,H.H. Hinder Brewing Co.,Waupaca,WI,Scotch Ale,2020,44.35803,-89.08595,1,place,,,,,Waupaca,WI,Waupaca County,54981,US,TIGER/Line® dataset from the US Census Bureau
Gold,Back Country,Lewis & Clark Brewing Co.,Helena,MT,Scottish-Style Ale,2020,46.527398,-112.21037,1,place,,,,,Helena,MT,Lewis and Clark County,59601,US,TIGER/Line® dataset from the US Census Bureau
Silver,It Takes a Tribe Red Ale,Goat Patch Brewing Co.,Colorado Springs,CO,Scottish-Style Ale,2020,38.828893,-104.809929,1,place,,,,,Colorado Springs,CO,El Paso County,80903,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Taildragger Clan-Destine,Saddle Mountain Brewing Co.,Goodyear,AZ,Scottish-Style Ale,2020,33.373698,-112.410262,1,place,,,,,Goodyear,AZ,Maricopa County,85338,US,TIGER/Line® dataset from the US Census Bureau
Gold,Tip the Calf,SingleSpeed Brewing,Waterloo,IA,Session Beer or Non-Alcohol Beer,2020,42.441117,-92.339209,1,place,,,,,Waterloo,IA,Black Hawk County,50701,US,TIGER/Line® dataset from the US Census Bureau
Silver,Guillaume,Pizza Port Ocean Beach,San Diego,CA,Session Beer or Non-Alcohol Beer,2020,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Gold,Hefty Fee,Docent Brewing,San Juan Capistrano,CA,Session India Pale Ale,2020,33.501773,-117.608674,1,place,,,,,San Juan Capistrano,CA,Orange County,92675,US,TIGER/Line® dataset from the US Census Bureau
Silver,Pedal Pounder,LazyG Brewhouse,Prescott,AZ,Session India Pale Ale,2020,34.591349,-112.426312,1,place,,,,,Prescott,AZ,Yavapai County,86301,US,TIGER/Line® dataset from the US Census Bureau
Silver,Holy Smokes!,Santa Maria Brewing Co.,Atascadero,CA,Smoke Beer,2020,35.464793,-120.712459,1,place,,,,,Atascadero,CA,San Luis Obispo County,93422,US,TIGER/Line® dataset from the US Census Bureau
Gold,Coco Burrito Porter,Shoe Tree Brewing Co.,Carson City,NV,Specialty Beer,2020,39.154485,-119.73074,1,place,,,,,Carson City,NV,Carson City,89701,US,TIGER/Line® dataset from the US Census Bureau
Silver,Cookies &amp; Cream Milk Stout,Waconia Brewing Co.,Waconia,MN,Specialty Beer,2020,44.844847,-93.746148,1,place,,,,,Waconia,MN,Carver County,55387,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Cactus Warrior,Toltec Brewing Co.,Albuquerque,NM,Specialty Beer,2020,35.199592,-106.644831,1,place,,,,,Albuquerque,NM,Bernalillo County,87101,US,TIGER/Line® dataset from the US Census Bureau
Gold,Razzle Fo Shazzle,Great Basin Brewing Co. - Reno,Reno,NV,Specialty Berliner-Style Weisse,2020,39.525749,-119.813051,1,place,,,,,Reno,NV,Washoe County,89501,US,TIGER/Line® dataset from the US Census Bureau
Silver,Glitz & Glam,Eppig Brewing,Vista,CA,Specialty Berliner-Style Weisse,2020,33.19784,-117.248203,1,place,,,,,Vista,CA,San Diego County,92083,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Plumpricot,Beale's,Bedford,VA,Specialty Berliner-Style Weisse,2020,37.336027,-79.522585,1,place,,,,,Bedford,VA,Bedford city,24523,US,TIGER/Line® dataset from the US Census Bureau
Gold,Farmhouse CuvC3==A9e,Alesong Brewing & Tasting Room,Eugene,OR,Specialty Saison,2020,44.067988,-123.080181,1,place,,,,,Eugene,OR,Lane County,97401,US,TIGER/Line® dataset from the US Census Bureau
Silver,Seeds of Infinity,Coldfire Brewing,Eugene,OR,Specialty Saison,2020,44.067988,-123.080181,1,place,,,,,Eugene,OR,Lane County,97401,US,TIGER/Line® dataset from the US Census Bureau
Gold,ODIS,O'Connor Brewing Co.,Norfolk,VA,Stout,2020,36.895911,-76.208521,1,place,,,,,Norfolk,VA,Norfolk city,23501,US,TIGER/Line® dataset from the US Census Bureau
Silver,Void of Light,Gun Hill Brewing Co.,Bronx,NY,Stout,2020,40.863028,-73.799802,1,place,,,,,Bronx,NY,Bronx County,10464,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Dry Stout,The Post Brewing Co.,Lafayette,CO,Stout,2020,40.026334,-105.104899,1,place,,,,,Lafayette,CO,Boulder County,80026,US,TIGER/Line® dataset from the US Census Bureau
Gold,Happy Days,Claremont Craft Ales,Claremont,CA,Strong Red Ale,2020,34.09668,-117.71978,1,place,,,,,Claremont,CA,Los Angeles County,91711,US,TIGER/Line® dataset from the US Census Bureau
Silver,Side Hike,Kern River Brewing Co.,Kernville,CA,Strong Red Ale,2020,35.708701,-118.405385,1,place,,,,,Kernville,CA,Kern County,93238,US,TIGER/Line® dataset from the US Census Bureau
Gold,Moozie Milk Stout,Brink Brewing Co.,Cincinnati,OH,Sweet Stout or Cream Stout,2020,39.166759,-84.53822,1,place,,,,,Cincinnati,OH,Hamilton County,45201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Irish Prenup,Barley Naked Brewing Co.,Stafford,VA,Sweet Stout or Cream Stout,2020,38.438958,-77.4354,1,place,,,,,Stafford,VA,Stafford County,22554,US,TIGER/Line® dataset from the US Census Bureau
Gold,RhinO'fest,Lost Rhino Brewing Co.,Ashburn,VA,Vienna-Style Lager,2020,39.085309,-77.645224,1,place,,,,,Ashburn,VA,Loudoun County,20146,US,TIGER/Line® dataset from the US Census Bureau
Silver,Vienna Lager,East Rock Brewing Co.,New Haven,CT,Vienna-Style Lager,2020,41.365709,-72.927507,1,place,,,,,New Haven,CT,New Haven County,6501,US,TIGER/Line® dataset from the US Census Bureau
Gold,Afternoon Delight,Sun King Brewery - Indianapolis,Indianapolis,IN,Wood- and Barrel-Aged Beer,2020,39.775092,-86.13216,1,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Amburana Graham Cracker Porter,Denver Beer Co.,Denver,CO,Wood- and Barrel-Aged Beer,2020,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Gold,Cuvee De Funk,Lone Pine Brewing Co.,Portland,ME,Wood- and Barrel-Aged Sour Beer,2020,43.658784,-70.262393,1,place,,,,,Portland,ME,Cumberland County,4101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Triad Blanc,IMBIB Custom Brews,Reno,NV,Wood- and Barrel-Aged Sour Beer,2020,39.525749,-119.813051,1,place,,,,,Reno,NV,Washoe County,89501,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Freedom 7,True Anomaly Brewing Co.,Houston,TX,Wood- and Barrel-Aged Sour Beer,2020,29.813142,-95.309789,1,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau
Gold,Amburana Dream,Denver Beer Co. - Olde Town Arvada,Arvada,CO,Wood- and Barrel-Aged Strong Beer,2020,39.522014,-105.223945,1,place,,,,,Arvada,CO,Jefferson County,80001,US,TIGER/Line® dataset from the US Census Bureau
Silver,Bourbon B.A. Big Game,Bravery Brewing,Lancaster,CA,Wood- and Barrel-Aged Strong Beer,2020,34.713292,-118.15292,1,place,,,,,Lancaster,CA,Los Angeles County,93534,US,TIGER/Line® dataset from the US Census Bureau
Gold,A Night to End All Dawns,Kane Brewing Co.,Ocean,NJ,Wood- and Barrel-Aged Strong Stout,2020,40.251944,-74.039166,0,,,,,,,,,,,
Silver,Ruckus,Melvin Brewing - Thai Me Up,Jackson,WY,Wood- and Barrel-Aged Strong Stout,2020,43.452793,-110.739266,1,place,,,,,Jackson,WY,Teton County,83001,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Grasp of Oak,Moksa Brewing Co.,Rocklin,CA,Wood- and Barrel-Aged Strong Stout,2020,38.801233,-121.230374,1,place,,,,,Rocklin,CA,Placer County,95677,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Mob Barley,Meadowlark Brewing,Sidney,MT,Aged Beer,2019,47.655825,-104.195206,1,place,,,,,Sidney,MT,Richland County,59270,US,TIGER/Line® dataset from the US Census Bureau
Silver,Tank 7 Farmhouse Ale,Boulevard Brewing Co.,Kansas City,MO,American-Belgo-Style Ale,2019,39.102404,-94.598583,1,place,,,,,Kansas City,MO,Jackson County,64101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,White Rainbow,Red Rock Brewery - Production,Salt Lake City,UT,American-Belgo-Style Ale,2019,40.756095,-111.900719,1,place,,,,,Salt Lake City,UT,Salt Lake County,84101,US,TIGER/Line® dataset from the US Census Bureau
Gold,MC3=A4rzen,Sudwerk Brewing Co.,Davis,CA,American-Style Amber Lager,2019,38.55413,-121.798469,1,place,,,,,Davis,CA,Yolo County,95616,US,TIGER/Line® dataset from the US Census Bureau
